ID,Area,Perimetro,Solidez,Convexidad,Extension_Caja,Extension_Circulo,Elongacion,Excentricidad,Relacion_Radios,Rizo_Aprox
18,223689.0,6468.79457628727,0.7854496806429978,3.3436398055549934,0.580166511048864,0.606596400684377,1.2125670427480468,0.5655752873205564,0.6030073,0.1897348413860221
19,158025.0,4397.011632323265,0.763016916499079,2.6574289165611624,0.5380490296220634,0.6558881914324088,1.1689473860169328,0.517851552706074,0.5817454,0.23976167257129136
20,185057.5,4656.543593764305,0.8682133264523394,2.72206656350904,0.6868405132259225,0.6819513996404734,1.092323010500883,0.40236320795017205,0.66950154,0.2269243451051937
21,480293.0,14576.176148533821,0.5882501354905677,3.9684646547550733,0.32837179092742624,0.2637727372874817,2.06806571801119,0.8753202613489217,0.32845542,0.17923453809808274
22,206377.5,1875.0205488204956,0.9779603228947749,1.139832267332316,0.7296229516890279,0.8768364249330604,1.0279311902681605,0.23153000710981425,0.8848639,0.5563766498577501
23,117433.0,1584.2783360481262,0.9405136131923226,1.2383450510868708,0.7514173097349662,0.7697943036643518,1.2814223778771556,0.6253020590394026,0.7213355,0.5612457959136367
24,365873.5,15670.03104364872,0.5379800393331741,4.648065611577649,0.30772772996723163,0.24880703648020863,2.5756820262058433,0.9215554861674111,0.35746938,0.1706573085156406
25,249385.0,8482.352129101753,0.5682000713140816,3.4310680283745776,0.3961409673156102,0.39553282659426114,1.5681021124766747,0.7702735875036177,0.47491232,0.20962855130430202
26,236545.0,1994.9200452566147,0.9762403942187848,1.1330699716861496,0.7638220649302843,0.8790137544368283,1.0720748685266628,0.36047033957455793,0.8610248,0.5729390779770138
27,205386.0,4287.815671443939,0.7803790073616718,2.3288881410588,0.5783631264150306,0.676163662148981,1.1661514955773387,0.5144480996217898,0.56625885,0.2771543106654801
28,154833.0,2065.037783741951,0.8850760986066453,1.3619646443696558,0.6587825332193048,0.716988910829129,1.3182994684207179,0.6516113606849601,0.61465406,0.5134302219380978
29,166498.0,1700.454962849617,0.984615566574709,1.1128414687771446,0.826342015405384,0.7842911648713015,1.0232130213354034,0.2117973796378856,0.7501424,0.6027286733602409
30,274810.5,2659.838855981827,0.9518400498761754,1.3840040548661294,0.7232197840950361,0.8510759201992676,1.011611360760331,0.15107753881126834,0.81055033,0.4474080076124472
31,160788.5,1837.6580587625504,0.9610702832909448,1.2513787629629394,0.7586939904118379,0.8319854130062386,1.097062897410701,0.4112451852367692,0.81993,0.5176814743455209
32,275335.5,3960.200453877449,0.7978808027622301,1.7603692467868572,0.585890020938665,0.4744703539975795,1.624214932523166,0.7879946685174073,0.5433357,0.4136883567990402
33,196855.5,2216.6185171604156,0.9619858821459725,1.369454724757334,0.7455179282868526,0.8597552034107603,1.0653926072776252,0.3449498472416091,0.8437696,0.4679580251620975
34,189328.5,4018.210558652878,0.7143582119962419,2.1733287116440705,0.5561092312572697,0.6343875246857117,1.1224101427560371,0.4541211990057313,0.54045385,0.2946611689045315
35,203868.5,1928.1677272319794,0.9659473456034077,1.172857814363689,0.7382581079710879,0.866135679770579,1.0124598880180973,0.15640220076495087,0.8557236,0.5339121454162237
36,169494.5,2318.441890835762,0.9224391279265943,1.4965796878356512,0.6703626799557032,0.7717118802957238,1.0109366672092532,0.1466958224087806,0.7984419,0.4112022977935551
37,201625.5,2222.275370121002,0.9593334047032794,1.3583027444533304,0.7581844230856009,0.8688776965395864,1.0867129777984241,0.3914340084842639,0.8377711,0.47660396992754545
38,144460.5,1761.9423347711563,0.9411322082262462,1.2417075327780536,0.6763606994873236,0.7498497373948133,1.0627608523688654,0.3385581777414748,0.79130477,0.5055214165545451
39,248118.5,3834.1516956090927,0.7235136053281156,1.6887947337844194,0.4705050773212982,0.41868770970127,1.8684846659156653,0.8447297812752252,0.5166558,0.458741569260103
40,154343.5,1844.4276105165482,0.9513077565511099,1.2734140773166933,0.7127910628353977,0.7969894030936336,1.0345801786536077,0.2563816081686889,0.8295001,0.4913667525393544
